Common1/Undetected/<|>data/Stats/Patterns Data/Common1Undetected.txt<|>284
Name/Mobile/<|>data/Stats/Patterns Data/NameMobile.txt<|>5
Undetected/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedNameUndetected.txt<|>263
Location/<|>data/Stats/Patterns Data/Location.txt<|>2
DOB/Undetected/<|>data/Stats/Patterns Data/DOBUndetected.txt<|>15
Mobile/<|>data/Stats/Patterns Data/Mobile.txt<|>211
email_Name/Undetected/<|>data/Stats/Patterns Data/emailNameUndetected.txt<|>1
Undetected/Mobile/<|>data/Stats/Patterns Data/UndetectedMobile.txt<|>101
Name/Undetected/<|>data/Stats/Patterns Data/NameUndetected.txt<|>261
Undetected/DOB/Undetected/<|>data/Stats/Patterns Data/UndetectedDOBUndetected.txt<|>27
Name/<|>data/Stats/Patterns Data/Name.txt<|>9
Undetected/DOB/<|>data/Stats/Patterns Data/UndetectedDOB.txt<|>37
Undetected/Name/Name/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedNameNameNameUndetected.txt<|>2
Undetected/Common1/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1Undetected.txt<|>98
Name/Undetected/Mobile/<|>data/Stats/Patterns Data/NameUndetectedMobile.txt<|>4
Mobile/Undetected/<|>data/Stats/Patterns Data/MobileUndetected.txt<|>51
Undetected/Common1/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1NameUndetected.txt<|>1
Common2/Undetected/Undetected/Common1/<|>data/Stats/Patterns Data/Common2UndetectedUndetectedCommon1.txt<|>7
Common1/<|>data/Stats/Patterns Data/Common1.txt<|>34
Common2/Undetected/Common1/Undetected/<|>data/Stats/Patterns Data/Common2UndetectedCommon1Undetected.txt<|>1
Name/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/NameUndetectedNameUndetected.txt<|>43
Name/Undetected/Name/Name/Undetected/<|>data/Stats/Patterns Data/NameUndetectedNameNameUndetected.txt<|>3
Undetected/Location/Undetected/<|>data/Stats/Patterns Data/UndetectedLocationUndetected.txt<|>10
email_Name/<|>data/Stats/Patterns Data/emailName.txt<|>10
Mobile/Undetected/DOB/<|>data/Stats/Patterns Data/MobileUndetectedDOB.txt<|>1
Undetected/<|>data/Stats/Patterns Data/Undetected.txt<|>98
Undetected/Name/<|>data/Stats/Patterns Data/UndetectedName.txt<|>40
Common1/Mobile/<|>data/Stats/Patterns Data/Common1Mobile.txt<|>16
Undetected/Common1/<|>data/Stats/Patterns Data/UndetectedCommon1.txt<|>35
Undetected/Mobile/Undetected/<|>data/Stats/Patterns Data/UndetectedMobileUndetected.txt<|>10
Location/Undetected/<|>data/Stats/Patterns Data/LocationUndetected.txt<|>40
Location/Mobile/<|>data/Stats/Patterns Data/LocationMobile.txt<|>1
