Common2/Undetected/<|>data/Stats/Patterns Data/Common2Undetected.txt<|>23363
Undetected/Common1/Undetected/Common3/Name/<|>data/Stats/Patterns Data/UndetectedCommon1UndetectedCommon3Name.txt<|>3
Undetected/Common1/Common3/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1Common3Undetected.txt<|>150
Undetected/Name/Name/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedNameNameUndetectedName.txt<|>12
Mobile/email_Name/<|>data/Stats/Patterns Data/MobileemailName.txt<|>6
Location/Undetected/Name/Name/Undetected/<|>data/Stats/Patterns Data/LocationUndetectedNameNameUndetected.txt<|>10
Common1/Undetected/Common3/Name/Undetected/<|>data/Stats/Patterns Data/Common1UndetectedCommon3NameUndetected.txt<|>78
Undetected/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedNameUndetected.txt<|>11549
Mobile/Undetected/Name/<|>data/Stats/Patterns Data/MobileUndetectedName.txt<|>8
Undetected/Common1/Name/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedCommon1NameUndetectedName.txt<|>1777
Undetected/Common1/DOB/<|>data/Stats/Patterns Data/UndetectedCommon1DOB.txt<|>8
Common1/Undetected/<|>data/Stats/Patterns Data/Common1Undetected.txt<|>30541
Mobile/Undetected/Undetected/Common2/<|>data/Stats/Patterns Data/MobileUndetectedUndetectedCommon2.txt<|>8
Common3/<|>data/Stats/Patterns Data/Common3.txt<|>3240
Undetected/Common2/Mobile/<|>data/Stats/Patterns Data/UndetectedCommon2Mobile.txt<|>31
Undetected/Common3/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon3Undetected.txt<|>15817
Common1/<|>data/Stats/Patterns Data/Common1.txt<|>4118
Undetected/Common1/Undetected/DOB/<|>data/Stats/Patterns Data/UndetectedCommon1UndetectedDOB.txt<|>179
Undetected/Common1/Common3/Undetected/DOB/<|>data/Stats/Patterns Data/UndetectedCommon1Common3UndetectedDOB.txt<|>1
Undetected/Common2/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon2NameUndetected.txt<|>2189
Undetected/Location/Undetected/Location/<|>data/Stats/Patterns Data/UndetectedLocationUndetectedLocation.txt<|>1
Common2/Undetected/Location/Undetected/<|>data/Stats/Patterns Data/Common2UndetectedLocationUndetected.txt<|>174
Location/Undetected/DOB/<|>data/Stats/Patterns Data/LocationUndetectedDOB.txt<|>1
Undetected/Name/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedNameNameUndetected.txt<|>2211
Common2/Undetected/Name/<|>data/Stats/Patterns Data/Common2UndetectedName.txt<|>37
Undetected/Common1/Undetected/Common3/Name/Name/<|>data/Stats/Patterns Data/UndetectedCommon1UndetectedCommon3NameName.txt<|>1
Undetected/Common1/Name/Undetected/DOB/<|>data/Stats/Patterns Data/UndetectedCommon1NameUndetectedDOB.txt<|>1
Undetected/Common2/Mobile/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon2MobileUndetected.txt<|>1
Mobile/Undetected/DOB/<|>data/Stats/Patterns Data/MobileUndetectedDOB.txt<|>3
Common3/Undetected/<|>data/Stats/Patterns Data/Common3Undetected.txt<|>10750
email_Name/Undetected/Common2/Undetected/Name/Undetected/Name/<|>data/Stats/Patterns Data/emailNameUndetectedCommon2UndetectedNameUndetectedName.txt<|>1
Common2/Name/Mobile/<|>data/Stats/Patterns Data/Common2NameMobile.txt<|>1
Undetected/Mobile/<|>data/Stats/Patterns Data/UndetectedMobile.txt<|>4218
Name/Name/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/NameNameUndetectedNameUndetected.txt<|>4
Name/<|>data/Stats/Patterns Data/Name.txt<|>2740
Common2/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/Common2UndetectedNameUndetected.txt<|>1545
Mobile/Undetected/Undetected/Common1/<|>data/Stats/Patterns Data/MobileUndetectedUndetectedCommon1.txt<|>1
Common2/Undetected/DOB/<|>data/Stats/Patterns Data/Common2UndetectedDOB.txt<|>1433
Name/Location/<|>data/Stats/Patterns Data/NameLocation.txt<|>11
Undetected/Common1/Name/Undetected/Location/<|>data/Stats/Patterns Data/UndetectedCommon1NameUndetectedLocation.txt<|>2
Common1/Undetected/Common2/Undetected/<|>data/Stats/Patterns Data/Common1UndetectedCommon2Undetected.txt<|>211
Undetected/Common3/<|>data/Stats/Patterns Data/UndetectedCommon3.txt<|>6282
Undetected/Common2/Common3/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon2Common3Undetected.txt<|>1828
Undetected/Common1/Name/Mobile/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1NameMobileUndetected.txt<|>1
Location/<|>data/Stats/Patterns Data/Location.txt<|>3964
Common1/Undetected/Name/Undetected/Common3/Undetected/<|>data/Stats/Patterns Data/Common1UndetectedNameUndetectedCommon3Undetected.txt<|>1
Undetected/Name/Common2/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedNameCommon2NameUndetected.txt<|>2
Name/Undetected/<|>data/Stats/Patterns Data/NameUndetected.txt<|>17196
Undetected/email_Name/Undetected/Website/<|>data/Stats/Patterns Data/UndetectedemailNameUndetectedWebsite.txt<|>9
Common1/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/Common1UndetectedNameUndetected.txt<|>5949
Common3/Name/Undetected/<|>data/Stats/Patterns Data/Common3NameUndetected.txt<|>33
Undetected/Common3/Name/Name/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedCommon3NameNameUndetectedName.txt<|>1
Common2/Name/Name/<|>data/Stats/Patterns Data/Common2NameName.txt<|>1
Undetected/Name/<|>data/Stats/Patterns Data/UndetectedName.txt<|>5015
Undetected/Common1/Common3/<|>data/Stats/Patterns Data/UndetectedCommon1Common3.txt<|>16
Undetected/Common2/Undetected/Name/Mobile/<|>data/Stats/Patterns Data/UndetectedCommon2UndetectedNameMobile.txt<|>1
Undetected/Common1/<|>data/Stats/Patterns Data/UndetectedCommon1.txt<|>2296
Common1/Undetected/Location/Undetected/<|>data/Stats/Patterns Data/Common1UndetectedLocationUndetected.txt<|>2019
Common2/Undetected/Name/Name/Name/Undetected/Location/<|>data/Stats/Patterns Data/Common2UndetectedNameNameNameUndetectedLocation.txt<|>1
Undetected/Common2/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon2Undetected.txt<|>7923
Name/Undetected/Location/Name/Undetected/<|>data/Stats/Patterns Data/NameUndetectedLocationNameUndetected.txt<|>5
Common1/Common3/Undetected/<|>data/Stats/Patterns Data/Common1Common3Undetected.txt<|>256
Common2/<|>data/Stats/Patterns Data/Common2.txt<|>4713
Mobile/Undetected/Undetected/Common3/<|>data/Stats/Patterns Data/MobileUndetectedUndetectedCommon3.txt<|>4
Location/Undetected/<|>data/Stats/Patterns Data/LocationUndetected.txt<|>2666
Common2/Common3/<|>data/Stats/Patterns Data/Common2Common3.txt<|>20
Mobile/<|>data/Stats/Patterns Data/Mobile.txt<|>20215
Undetected/Common1/Name/<|>data/Stats/Patterns Data/UndetectedCommon1Name.txt<|>4
Undetected/Common1/Common2/Name/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedCommon1Common2NameUndetectedName.txt<|>1
